"","atm_id","horario","Total_fallas","score","riesgo_fallo"
"293","1115","Madrugada",4,0.0268456375838926,"Bajo"
"294","1115","Noche",3,0.0201342281879195,"Bajo"
"295","1116","Madrugada",2,0.0134228187919463,"Bajo"
"296","1116","Noche",1,0.00671140939597315,"Muy bajo"
"297","1117","Madrugada",3,0.0201342281879195,"Bajo"
"298","1117","Mañana",2,0.0134228187919463,"Bajo"
"299","1117","Noche",1,0.00671140939597315,"Muy bajo"
"300","1117","Tarde",1,0.00671140939597315,"Muy bajo"
"301","1118","Mañana",5,0.0335570469798658,"Bajo"
"302","1118","Noche",1,0.00671140939597315,"Muy bajo"
"303","1118","Tarde",2,0.0134228187919463,"Bajo"
"304","1119","Madrugada",6,0.0402684563758389,"Bajo"
"305","1119","Mañana",3,0.0201342281879195,"Bajo"
"306","1119","Noche",1,0.00671140939597315,"Muy bajo"
"307","1119","Tarde",2,0.0134228187919463,"Bajo"
"308","112","Madrugada",2,0.0134228187919463,"Bajo"
"309","112","Mañana",1,0.00671140939597315,"Muy bajo"
"310","112","Noche",1,0.00671140939597315,"Muy bajo"
"311","112","Tarde",2,0.0134228187919463,"Bajo"
"312","1120","Madrugada",2,0.0134228187919463,"Bajo"
"313","1120","Mañana",1,0.00671140939597315,"Muy bajo"
"314","1120","Noche",1,0.00671140939597315,"Muy bajo"
"315","1120","Tarde",1,0.00671140939597315,"Muy bajo"
"316","1121","Madrugada",2,0.0134228187919463,"Bajo"
"317","1121","Noche",1,0.00671140939597315,"Muy bajo"
"318","1122","Madrugada",1,0.00671140939597315,"Muy bajo"
"319","1122","Tarde",1,0.00671140939597315,"Muy bajo"
"320","1123","Madrugada",1,0.00671140939597315,"Muy bajo"
"321","1123","Mañana",1,0.00671140939597315,"Muy bajo"
"322","1123","Noche",2,0.0134228187919463,"Bajo"
"323","1123","Tarde",1,0.00671140939597315,"Muy bajo"
"324","1124","Madrugada",4,0.0268456375838926,"Bajo"
"325","1124","Mañana",6,0.0402684563758389,"Bajo"
"326","1124","Noche",2,0.0134228187919463,"Bajo"
"327","1124","Tarde",4,0.0268456375838926,"Bajo"
"328","1125","Madrugada",7,0.0469798657718121,"Bajo"
"329","1125","Mañana",6,0.0402684563758389,"Bajo"
"330","1125","Noche",3,0.0201342281879195,"Bajo"
"331","1125","Tarde",1,0.00671140939597315,"Muy bajo"
"332","1127","Madrugada",1,0.00671140939597315,"Muy bajo"
"333","1127","Tarde",1,0.00671140939597315,"Muy bajo"
"334","1128","Madrugada",6,0.0402684563758389,"Bajo"
"335","1128","Mañana",13,0.087248322147651,"Moderado"
"336","1128","Noche",3,0.0201342281879195,"Bajo"
"337","1128","Tarde",2,0.0134228187919463,"Bajo"
"338","1129","Madrugada",3,0.0201342281879195,"Bajo"
"339","1129","Mañana",2,0.0134228187919463,"Bajo"
"340","1129","Noche",2,0.0134228187919463,"Bajo"
"341","1129","Tarde",1,0.00671140939597315,"Muy bajo"
"342","113","Madrugada",6,0.0402684563758389,"Bajo"
"343","113","Mañana",1,0.00671140939597315,"Muy bajo"
"344","113","Noche",1,0.00671140939597315,"Muy bajo"
"345","113","Tarde",2,0.0134228187919463,"Bajo"
"346","1130","Madrugada",1,0.00671140939597315,"Muy bajo"
"347","1131","Mañana",2,0.0134228187919463,"Bajo"
